longitude,latitude,occ,PLand,ProvId,ProvName,NR
-97.25,22.53066,1,0,23,Gulf of Mexico,TRUE
-96.25,22.53066,1,0,23,Gulf of Mexico,TRUE
-96.25,26.93581,1,0,23,Gulf of Mexico,TRUE
-95.75,27.49808,1,0,23,Gulf of Mexico,TRUE
-94.75,26.37634,1,0,23,Gulf of Mexico,TRUE
-93.75,19.31838,1,0,23,Gulf of Mexico,TRUE
-93.25,24.16451,1,0,23,Gulf of Mexico,TRUE
-92.75,20.38157,1,0,23,Gulf of Mexico,TRUE
-91.75,27.49808,1,0,23,Gulf of Mexico,TRUE
-91.25,25.26539,1,0,23,Gulf of Mexico,TRUE
-91.25,26.93581,1,0,23,Gulf of Mexico,TRUE
-90.75,23.61765,1,0,23,Gulf of Mexico,TRUE
-90.25,25.81956,1,0,23,Gulf of Mexico,TRUE
-89.75,24.16451,1,0,23,Gulf of Mexico,TRUE
-89.75,25.81956,1,0,23,Gulf of Mexico,TRUE
-89.75,27.49808,1,0,23,Gulf of Mexico,TRUE
-89.25,23.61765,2,0,23,Gulf of Mexico,TRUE
-89.25,24.71373,1,0,23,Gulf of Mexico,TRUE
-88.25,27.49808,1,0,23,Gulf of Mexico,TRUE
-87.75,26.37634,1,0,23,Gulf of Mexico,TRUE
-87.25,25.81956,1,0,23,Gulf of Mexico,TRUE
-87.25,29.2026,1,0,23,Gulf of Mexico,TRUE
-86.75,24.16451,1,0,23,Gulf of Mexico,TRUE
-85.75,26.93581,4,0,23,Gulf of Mexico,TRUE
-84.75,26.93581,2,0,23,Gulf of Mexico,TRUE
-82.75,23.07305,1,0.43037,23,Gulf of Mexico,TRUE
-65.75,11.53204,2,0,24,Central North Atlantic,TRUE
-65.25,11.53204,1,0,24,Central North Atlantic,TRUE
-64.75,11.53204,1,0,24,Central North Atlantic,TRUE
-57.75,8.99116,1,0,24,Central North Atlantic,TRUE
-53.25,8.99116,2,0,24,Central North Atlantic,TRUE
-51.25,8.99116,1,0,24,Central North Atlantic,TRUE
-49.25,8.99116,3,0,24,Central North Atlantic,TRUE
-48.75,7.98007,1,0,24,Central North Atlantic,TRUE
-46.75,8.99116,1,0,24,Central North Atlantic,TRUE
-46.25,8.99116,1,0,24,Central North Atlantic,TRUE
-45.75,7.47548,1,0,24,Central North Atlantic,TRUE
-44.75,0.95427,1,0,27,Tropical and West Equatorial Atlantic,TRUE
-43.75,8.99116,2,0,24,Central North Atlantic,TRUE
